"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393484","Presentation","2015-03-30","fixedoddsbettingterminalsbettingshops.html","http://services.parliament.uk/bills/fixedoddsbettingterminalsbettingshops.html","Fixed Odds Betting Terminals (Betting Shops)","2014-2015","Thomas Docherty","Fixed Odds Betting Terminals (Betting Shops)"
"http://data.parliament.uk/resources/393485","Presentation","2015-03-30","highcostcreditservicesretailpremises.html","http://services.parliament.uk/bills/highcostcreditservicesretailpremises.html","High Cost Credit Services (Retail Premises)","2014-2015","Thomas Docherty","High Cost Credit Services (Retail Premises)"
"http://data.parliament.uk/resources/393487","Presentation","2015-03-30","lettingagentsfees.html","http://services.parliament.uk/bills/lettingagentsfees.html","Letting Agents (Fees)","2014-2015","Thomas Docherty","Letting Agents (Fees)"
"http://data.parliament.uk/resources/393488","Presentation","2015-03-30","firearmandshotgunlicensingdomesticviolence.html","http://services.parliament.uk/bills/firearmandshotgunlicensingdomesticviolence.html","Firearm and Shotgun Licensing (Domestic Violence)","2014-2015","Thomas Docherty","Firearm and Shotgun Licensing (Domestic Violence)"
"http://data.parliament.uk/resources/393489","Presentation","2015-03-30","asylumtimelimit.html","http://services.parliament.uk/bills/asylumtimelimit.html","Asylum (Time Limit)","2014-2015","Mr Christopher Chope","Asylum (Time Limit)"
"http://data.parliament.uk/resources/393490","Presentation","2015-03-30","schooladmissions.html","http://services.parliament.uk/bills/schooladmissions.html","School Admissions","2014-2015","Mr Christopher Chope","School Admissions"
"http://data.parliament.uk/resources/393491","Presentation","2015-03-30","bathabitatsregulation.html","http://services.parliament.uk/bills/bathabitatsregulation.html","Bat Habitats Regulation","2014-2015","Mr Christopher Chope","Bat Habitats Regulation"
"http://data.parliament.uk/resources/393493","Presentation","2015-03-30","employmentrights.html","http://services.parliament.uk/bills/employmentrights.html","Employment Rights","2014-2015","Mr Christopher Chope","Employment Rights"
"http://data.parliament.uk/resources/393494","Presentation","2015-03-30","freemovementofpersonsintotheunitedkingdomderogation.html","http://services.parliament.uk/bills/freemovementofpersonsintotheunitedkingdomderogation.html","Free Movement of Persons into the United Kingdom (Derogation)","2014-2015","Mr Peter Bone","Free Movement of Persons into the United Kingdom (Derogation)"
"http://data.parliament.uk/resources/393495","Presentation","2015-03-30","britishbillofrightsandwithdrawalfromtheeuropeanconventiononhumanrights.html","http://services.parliament.uk/bills/britishbillofrightsandwithdrawalfromtheeuropeanconventiononhumanrights.html","British Bill of Rights and Withdrawal from the European Convention on Human Rights","2014-2015","Mr Peter Bone","British Bill of Rights and Withdrawal from the European Convention on Human Rights"
"http://data.parliament.uk/resources/393496","Presentation","2015-03-30","windfarmsubsidiesabolition.html","http://services.parliament.uk/bills/windfarmsubsidiesabolition.html","Wind Farm Subsidies (Abolition)","2014-2015","Mr Peter Bone","Wind Farm Subsidies (Abolition)"
"http://data.parliament.uk/resources/393497","Presentation","2015-03-30","departmentofenergyandclimatechangeabolition.html","http://services.parliament.uk/bills/departmentofenergyandclimatechangeabolition.html","Department of Energy and Climate Change (Abolition)","2014-2015","Mr Peter Bone","Department of Energy and Climate Change (Abolition)"
"http://data.parliament.uk/resources/393498","Presentation","2015-03-30","foreignnationaloffendersexclusionfromtheunitedkingdom.html","http://services.parliament.uk/bills/foreignnationaloffendersexclusionfromtheunitedkingdom.html","Foreign National Offenders (Exclusion from the United Kingdom)","2014-2015","Mr Peter Bone","Foreign National Offenders (Exclusion from the United Kingdom)"
"http://data.parliament.uk/resources/393499","Presentation","2015-03-30","illegalimmigrantscriminalsanctions.html","http://services.parliament.uk/bills/illegalimmigrantscriminalsanctions.html","Illegal Immigrants (Criminal Sanctions)","2014-2015","Mr Christopher Chope","Illegal Immigrants (Criminal Sanctions)"
"http://data.parliament.uk/resources/393500","Presentation","2015-03-30","hospitalcarparkingchargesabolition.html","http://services.parliament.uk/bills/hospitalcarparkingchargesabolition.html","Hospital Car Parking Charges (Abolition)","2014-2015","Mr Peter Bone","Hospital Car Parking Charges (Abolition)"
"http://data.parliament.uk/resources/393501","Presentation","2015-03-30","bbcprivatisation.html","http://services.parliament.uk/bills/bbcprivatisation.html","BBC Privatisation","2014-2015","Mr Peter Bone","BBC Privatisation"
"http://data.parliament.uk/resources/393502","Presentation","2015-03-30","houseoflordsmaximummembership.html","http://services.parliament.uk/bills/houseoflordsmaximummembership.html","House of Lords (Maximum Membership)","2014-2015","Mr Christopher Chope","House of Lords (Maximum Membership)"
"http://data.parliament.uk/resources/393503","Presentation","2015-03-30","officeofthedeputyprimeministerabolition.html","http://services.parliament.uk/bills/officeofthedeputyprimeministerabolition.html","Office of the Deputy Prime Minister (Abolition)","2014-2015","Mr Peter Bone","Office of the Deputy Prime Minister (Abolition)"
"http://data.parliament.uk/resources/393504","Presentation","2015-03-30","eumembershipauditofcostsandbenefits.html","http://services.parliament.uk/bills/eumembershipauditofcostsandbenefits.html","EU Membership (Audit of Costs and Benefits)","2014-2015","Mr Christopher Chope","EU Membership (Audit of Costs and Benefits)"
"http://data.parliament.uk/resources/393505","Presentation","2015-03-30","housingaffordabilitysupplyandtenantprotection.html","http://services.parliament.uk/bills/housingaffordabilitysupplyandtenantprotection.html","Housing (Affordability, Supply and Tenant Protection)","2014-2015","Caroline Lucas","Housing (Affordability, Supply and Tenant Protection)"
"http://data.parliament.uk/resources/393506","Presentation","2015-03-30","railways.html","http://services.parliament.uk/bills/railways.html","Railways","2014-2015","Caroline Lucas","Railways"
"http://data.parliament.uk/resources/393507","Presentation","2015-03-30","publicservicesownershipanduserinvolvement.html","http://services.parliament.uk/bills/publicservicesownershipanduserinvolvement.html","Public Services (Ownership and User Involvement)","2014-2015","Caroline Lucas","Public Services (Ownership and User Involvement)"
"http://data.parliament.uk/resources/393508","Presentation","2015-03-30","personalsocialhealthandeconomiceducationstatutoryrequirement.html","http://services.parliament.uk/bills/personalsocialhealthandeconomiceducationstatutoryrequirement.html","Personal, Social, Health and Economic Education (Statutory Requirement)","2014-2015","Caroline Lucas","Personal, Social, Health and Economic Education (Statutory Requirement)"
"http://data.parliament.uk/resources/393509","Presentation","2015-03-30","benefitentitlementrestriction.html","http://services.parliament.uk/bills/benefitentitlementrestriction.html","Benefit Entitlement (Restriction)","2014-2015","Mr Christopher Chope","Benefit Entitlement (Restriction)"
"http://data.parliament.uk/resources/393510","Presentation","2015-03-30","footballgovernance.html","http://services.parliament.uk/bills/footballgovernance.html","Football Governance","2014-2015","Damian Collins","Football Governance"
"http://data.parliament.uk/resources/393511","Presentation","2015-03-30","hs2fundingreferendum.html","http://services.parliament.uk/bills/hs2fundingreferendum.html","HS2 Funding Referendum","2014-2015","Mr Christopher Chope","HS2 Funding Referendum"
"http://data.parliament.uk/resources/393512","Presentation","2015-03-30","roadtrafficregulationtemporaryclosureforfilming.html","http://services.parliament.uk/bills/roadtrafficregulationtemporaryclosureforfilming.html","Road Traffic Regulation (Temporary Closure for Filming)","2014-2015","Iain Stewart","Road Traffic Regulation (Temporary Closure for Filming)"
"http://data.parliament.uk/resources/393513","Presentation","2015-03-30","overseasvoters.html","http://services.parliament.uk/bills/overseasvoters.html","Overseas Voters","2014-2015","Mr Christopher Chope","Overseas Voters"
"http://data.parliament.uk/resources/393514","Presentation","2015-03-30","convictedprisonersvoting.html","http://services.parliament.uk/bills/convictedprisonersvoting.html","Convicted Prisoners Voting","2014-2015","Mr Christopher Chope","Convicted Prisoners Voting"
"http://data.parliament.uk/resources/393515","Presentation","2015-03-30","europeanparliamentelections.html","http://services.parliament.uk/bills/europeanparliamentelections.html","European Parliament Elections","2014-2015","Mr Christopher Chope","European Parliament Elections"
"http://data.parliament.uk/resources/393516","Presentation","2015-03-30","defenceexpenditurenatotarget.html","http://services.parliament.uk/bills/defenceexpenditurenatotarget.html","Defence Expenditure (NATO Target)","2014-2015","Mr Christopher Chope","Defence Expenditure (NATO Target)"
"http://data.parliament.uk/resources/393518","Presentation","2015-03-30","localgovernmentindependence.html","http://services.parliament.uk/bills/localgovernmentindependence.html","Local Government (Independence)","2014-2015","Mr Graham Allen","Local Government (Independence)"
"http://data.parliament.uk/resources/393520","Presentation","2015-03-30","protectiveheadgearforcyclistsagedfourteenyearsandunderresearch.html","http://services.parliament.uk/bills/protectiveheadgearforcyclistsagedfourteenyearsandunderresearch.html","Protective Headgear for Cyclists Aged Fourteen Years and Under (Research)","2014-2015","Annette Brooke","Protective Headgear for Cyclists Aged Fourteen Years and Under (Research)"
"http://data.parliament.uk/resources/393521","Presentation","2015-03-30","amenitylandadoptionbylocalauthorities.html","http://services.parliament.uk/bills/amenitylandadoptionbylocalauthorities.html","Amenity Land (Adoption by Local Authorities)","2014-2015","Annette Brooke","Amenity Land (Adoption by Local Authorities)"
"http://data.parliament.uk/resources/393524","Presentation","2015-03-30","counsellorsandpsychotherapistsregulation.html","http://services.parliament.uk/bills/counsellorsandpsychotherapistsregulation.html","Counsellors and Psychotherapists (Regulation)","2014-2015","Geraint Davies","Counsellors and Psychotherapists (Regulation)"
"http://data.parliament.uk/resources/393526","Ten Minute Rule","2015-03-30","politicalpartypolicycostingsofficeforbudgetresponsibility.html","http://services.parliament.uk/bills/politicalpartypolicycostingsofficeforbudgetresponsibility.html","Political Party Policy Costings (Office for Budget Responsibility)","2014-2015","Alison McGovern","Political Party Policy Costings (Office for Budget Responsibility)"
"http://data.parliament.uk/resources/393530","Presentation","2015-03-30","housesinmultipleoccupationenergyperformancecertificatesandminimumenergyefficiencystandards.html","http://services.parliament.uk/bills/housesinmultipleoccupationenergyperformancecertificatesandminimumenergyefficiencystandards.html","Houses in Multiple Occupation (Energy Performance Certificates and Minimum Energy Efficiency Standards)","2014-2015","Dr Alan Whitehead","Houses in Multiple Occupation (Energy Performance Certificates and Minimum Energy Efficiency Standards)"
"http://data.parliament.uk/resources/393531","Presentation","2015-03-30","energybuildingsandreductionoffueluse.html","http://services.parliament.uk/bills/energybuildingsandreductionoffueluse.html","Energy (Buildings and Reduction of Fuel Use)","2014-2015","Dr Alan Whitehead","Energy (Buildings and Reduction of Fuel Use)"
"http://data.parliament.uk/resources/393532","Ten Minute Rule","2015-03-30","childbenefitentitlementdisqualificationofnonukeunationals.html","http://services.parliament.uk/bills/childbenefitentitlementdisqualificationofnonukeunationals.html","Child Benefit Entitlement (Disqualification of Non-UK EU Nationals)","2014-2015","Mr Philip Hollobone","Child Benefit Entitlement (Disqualification of Non-UK EU Nationals)"
"http://data.parliament.uk/resources/393535","Presentation","2015-03-30","freedomofinformationamendment.html","http://services.parliament.uk/bills/freedomofinformationamendment.html","Freedom of Information (Amendment)","2014-2015","Grahame M. Morris","Freedom of Information (Amendment)"
"http://data.parliament.uk/resources/393536","Ten Minute Rule","2015-03-30","businessofthehousecommission.html","http://services.parliament.uk/bills/businessofthehousecommission.html","Business of the House Commission","2014-2015","Mr Peter Bone","Business of the House Commission"
